0,1,2,3,4,5,6,7
LagoYuririaGto,sentinel2,B11,2021,4,24,9,528632.0
LagoYuririaGto,sentinel2,B11,2021,5,4,0,822174.0
LagoYuririaGto,sentinel2,B11,2021,5,4,1,532141.0
LagoYuririaGto,sentinel2,B11,2021,5,19,2,641042.0
LagoYuririaGto,sentinel2,B11,2021,5,19,3,1739273.0
LagoYuririaGto,sentinel2,B11,2021,5,24,4,781724.0
LagoYuririaGto,sentinel2,B11,2021,5,24,5,504997.0
LagoYuririaGto,sentinel2,B11,2021,6,8,0,765497.0
LagoYuririaGto,sentinel2,B11,2021,6,8,1,494558.0
LagoYuririaGto,sentinel2,B11,2021,7,18,0,851545.0
LagoYuririaGto,sentinel2,B11,2021,7,18,1,553596.0
LagoYuririaGto,sentinel2,B11,2021,7,23,2,843254.0
LagoYuririaGto,sentinel2,B11,2021,7,23,3,558965.0
LagoYuririaGto,sentinel2,B11,2021,8,2,0,854694.0
LagoYuririaGto,sentinel2,B11,2021,8,2,1,557006.0
LagoYuririaGto,sentinel2,B11,2021,8,12,2,853892.0
LagoYuririaGto,sentinel2,B11,2021,8,12,3,556570.0
LagoYuririaGto,sentinel2,B11,2021,8,17,4,852619.0
LagoYuririaGto,sentinel2,B11,2021,8,17,5,554563.0
LagoYuririaGto,sentinel2,B11,2021,9,16,0,978027.0
LagoYuririaGto,sentinel2,B11,2021,9,16,1,726291.0
LagoYuririaGto,sentinel2,B11,2021,9,21,2,915779.0
LagoYuririaGto,sentinel2,B11,2021,9,21,3,730816.0
LagoYuririaGto,sentinel2,B11,2021,10,11,0,1892704.0
LagoYuririaGto,sentinel2,B11,2021,10,11,1,754636.0
LagoYuririaGto,sentinel2,B11,2021,10,21,2,332439.0
LagoYuririaGto,sentinel2,B11,2021,11,5,0,885265.0
LagoYuririaGto,sentinel2,B11,2021,11,5,1,726939.0
LagoYuririaGto,sentinel2,B11,2021,11,10,2,837903.0
LagoYuririaGto,sentinel2,B11,2021,11,10,3,708638.0
